Old SGV properties and classes,Was used in classes,Amended and new SGV properties and classes,Will be used in classes,EN,DE,FR,IT,Mapping to external vocabularies (mainly Schema.org),PIA JSON API Endpoint,PIA JSON API Path, Linked Art Property/Class/Pattern (CIDOC-CRM)
hasDeathplace,Persons,hasDeathPlace,Agent,Death place,verstorben/aufgelöst in,Lieu de mort,Luogo di morte,schema:deathPlace,https://data.participatory-archives.ch/api/v1/agents/<id>,,died (P100i) > took_place_at (P7) 
hasDeathplace_old,Persons,hasDeathPlaceOld,,,,,,,,,
hasLiterature,"Persons, Collection",hasLiterature,"Agent, Collection",Literature,Literatur,Littérature,,,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/literatures,,
hasIndexing_rt,"Album, Collection",hasIndexing,"Object, Collection",Indexing notes,Erschliessungsprotokoll,Notes de catalogage et d'indexation,,,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasRestoration,Collection,hasRestoration,"Collection, Object",Restoration notes,Restaurierungsprotokoll,Notes de conservation et restauration,,,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasStandorte,Collection,hasArchiveLocation,"Collection, Object, Dataset",Archive location,Standortverwaltung,Lieu de conservation,,schema:spatial,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasDefault_image,Collection,hasDefaultImage,Collection,Example image,Bildverknüpfung,Image témoin,,schema:workExample,https://data.participatory-archives.ch/api/v1/collections/<id>/,$.data.attributes.default_image,
hasEmbedded_video,Collection,hasEmbeddedVideo,Collection,Embedded video,Eingebettes Video,Vidéo embarquée,Video incorporato,schema:workExample,https://data.participatory-archives.ch/api/v1/collections/<id>/,$.data.attributes.embedded_video,
hascomment_rt,Tonbildschau,hasComment,,,,,,,,,
hasLang,Film,isInLanguage,Object,Language,Sprache,Langue,,schema:inLanguage,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasDuration,Film,hasDuration,Object,Duration,Dauer,Durée,,schema:duration,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasFps,Film,hasFps,Object,Frames per second,Bildfrequenz,Images par seconde,Frequenza dei fotogrammi,ebucore:frameRate,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
hasInterval,Sequence,hasInterval,Sequence,Time Interval,Zeit Intervall,Temps d'intervalle,,,,,
hasFilmres,Sequence,describesSequenceOf,Sequence,Describes the sequence of,Teil von,Fait partie de,È parte di,schema:isPartOf,,,
,,hasPlace,"Object, Dataset, Collection",Place,Ort,Lieu,Luogo,schema:spatial,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
,,hasPart,"Object, Dataset, Collection",has part(s),Besteht aus,Est composé-e de,È composto da,schema:hasPart,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
,,recordedAt,"Object, Dataset, Collection",recorded at,aufgezeichnet bei,enregistré à,,schema:recordedAt,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
,,hasContributor,"Object, Dataset, Collection, Event",Contributor,Beitragende,Contributeur,Contributore,schema:contributor,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
,,hasPiaUrl,"Object, Dataset, Collection, Agent, Place, Event, Concept",PIA URL,PIA URL,PIA URL,PIA URL,schema:url,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,$.data.id,"identfied_by (P1) - type:""Identifier"""
,,hasCreativeWorkStatus,"Object, Dataset, Collection",Creative Work Status,Objektstatus,Statut de l'objet,Stato dell'oggetto,schema:CreativeWorkStatus,https://data.participatory-archives.ch/api/v1/<endpoint>/<id>/,,
,,hasEventStatus,Event,Event Status,Status des Events,Statut de l'événement,Stato dell'evento,schema:eventStatus,The endpoint not yet deployed,,
,,hasOrganizer,Event,Organizer,VeranstalterIn,Organisateur/Organisatrice,Organizzatore,schema:organizer,The endpoint not yet deployed,,
,,relatedTo,Agent,Related to (Agent),Relativ zu,Relatif à,,schema:relatedTo,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,isMemberOf,Agent,Member of,Mitglied von,Membre de,,schema:memberOf,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,hasEmployee,Agent,Employee(s),Mitarbeiter,Employé-e-s,,schema:employee,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,hasChildren,Agent,Children,Kinder,Enfant(s),Bambini,schema:children,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,hasParent,Agent,Parent,Eltern,Parent(s),Genitore/Genitori,schema:parent,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,hasSpouse,Agent,Spouse,EhepartnerIn,Conjoint-e,Coniuge,schema:spouse,https://data.participatory-archives.ch/api/v1/agents/<id>,,
,,hasSibling,Agent,Sibling(s),Geschwister,Frère(s) et sœur(s),Fratelli e sorelle,schema:sibling,https://data.participatory-archives.ch/api/v1/agents/<id>,,
